stimulus,target,n_runs,mean_of_run_means_ms,sd_between_runs_ms,mean_of_run_medians_ms,mean_within_run_sd_ms,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_mean_ms_run_01,run_mean_ms_run_02,run_mean_ms_run_03,run_mean_ms_run_04,run_mean_ms_run_05,run_mean_ms_run_06,run_mean_ms_run_07,run_mean_ms_run_08,run_mean_ms_run_09,run_mean_ms_run_10,run_median_ms_run_01,run_median_ms_run_02,run_median_ms_run_03,run_median_ms_run_04,run_median_ms_run_05,run_median_ms_run_06,run_median_ms_run_07,run_median_ms_run_08,run_median_ms_run_09,run_median_ms_run_10,within_run_sd_ms_run_01,within_run_sd_ms_run_02,within_run_sd_ms_run_03,within_run_sd_ms_run_04,within_run_sd_ms_run_05,within_run_sd_ms_run_06,within_run_sd_ms_run_07,within_run_sd_ms_run_08,within_run_sd_ms_run_09,within_run_sd_ms_run_10
Overall,W1 Peak,10,0.8900325958910023,0.02987181401191814,0.8601594262295083,0.29541053827475505,29.0,31.0,29.0,30.0,30.0,30.0,29.0,29.0,29.0,25.0,25.0,0.8997981094658911,0.8771083804409272,0.8888314071038252,0.9134073907103826,0.8765434153005465,0.9237180045223291,0.9025318117580554,0.8997069860561523,0.815922655737705,0.9027577978142076,0.8601594262295083,0.8601594262295083,0.8601594262295083,0.880639412568306,0.8396794398907104,0.8601594262295083,0.9011193989071038,0.8601594262295083,0.8191994535519126,0.8601594262295083,0.29847126178173067,0.27920619249859374,0.2809413072361213,0.3008296801654268,0.29054812009697484,0.301109772121975,0.29708240604400454,0.3093345373725656,0.31615332858465306,0.2804287768455049
Overall,W1 Trough,10,0.7908175302884658,0.027277961040507257,0.7434235040983607,0.33988958595434066,24.0,24.0,27.0,25.0,22.0,22.0,26.0,28.0,24.0,23.0,22.0,0.7867728085154827,0.790375769075086,0.7946234699453553,0.8415412568306011,0.7745158469945356,0.7404302753257672,0.767999487704918,0.7918928051001822,0.8138568484200523,0.8061667349726775,0.7577594945355192,0.7372795081967214,0.7782394808743169,0.7577594945355192,0.6963195355191257,0.6963195355191257,0.7167995218579235,0.7577594945355192,0.7782394808743169,0.7577594945355192,0.33559349047734344,0.32921510095970175,0.3076545692688922,0.3841818927378882,0.3687284013893134,0.3387413171091122,0.31266311214943615,0.3348727142217815,0.3560765239324864,0.33116873729745144
Overall,W3 Peak,10,0.777667637099922,0.053944645368009574,0.7598074931693989,0.22456607604038675,8.0,8.0,5.0,8.0,7.0,8.0,6.0,11.0,8.0,8.0,10.0,0.8038394637978142,0.7454715027322405,0.7116795252732241,0.7138738095238095,0.8601594262295083,0.8601594262295081,0.7447267759562841,0.7884794740437159,0.7987194672131148,0.7495675,0.7782394808743169,0.7372795081967214,0.675839549180328,0.6553595628415301,0.8396794398907104,0.8601594262295083,0.7372795081967214,0.7782394808743169,0.7782394808743169,0.7577594945355192,0.2794706212543584,0.19728935397680644,0.17506666623387548,0.18599186920752386,0.292922108492606,0.2998762374543318,0.1736028240977029,0.2464901789418417,0.2211188270710291,0.1738320736737916
Overall,W3 Trough,10,0.7570692525106772,0.014512796120065284,0.7086075273224044,0.26565716484913826,66.0,66.0,65.0,64.0,64.0,66.0,68.0,67.0,67.0,66.0,62.0,0.7894103825136612,0.7366493547709122,0.7513594988046448,0.7641594902663935,0.7459679872495446,0.7686018402442945,0.7507290514639915,0.7501177085882066,0.7552770719489982,0.7584201392561255,0.7167995218579235,0.6963195355191257,0.6963195355191257,0.7167995218579235,0.6963195355191257,0.7372795081967214,0.7372795081967214,0.6963195355191257,0.6963195355191257,0.6963195355191257,0.317562884536804,0.24074791333989204,0.2615314276903121,0.2669733657205536,0.2579067701324174,0.2863368214904591,0.24929136630277557,0.2549198277141952,0.2601600781277227,0.2611411934362512
Overall,all targets,10,0.7949012099479015,0.011996691701386564,0.7372795081967214,0.2883135015889822,126.5,129.0,126.0,127.0,123.0,126.0,129.0,135.0,128.0,122.0,119.0,0.8163417810395222,0.780840114060196,0.7898501817908008,0.8115402716691102,0.7892921719143031,0.8020534184775703,0.7864314754098362,0.7942394702015028,0.781596855683956,0.7968263592322176,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.31437721489353737,0.2723266423707115,0.27490823327736474,0.2997730199971825,0.2915435306479246,0.3058613141758982,0.27343406174807355,0.28652320603632514,0.2879305845445568,0.2764572081982478
Click,W1 Peak,10,1.099433933287796,0.045436745264591176,0.9543673633879782,0.36092019669087017,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,1.0825135636221703,1.1263992486338799,1.1195725865209474,1.105919262295082,1.100067837626854,1.1195725865209474,1.1673592213114754,1.117622111631538,1.000593618266979,1.0547192964480876,0.9420793715846996,0.9830393442622952,0.9420793715846996,0.9420793715846996,0.9420793715846996,0.9420793715846996,1.0239993169398909,1.0239993169398909,0.9420793715846996,0.8601594262295083,0.3171486564795511,0.3232984940221442,0.3614393646264222,0.3578629783593194,0.3322798704146024,0.3614393646264222,0.35872144492095465,0.3529173979281085,0.5158665014640156,0.3282278940671616
Click,W1 Trough,10,1.0884625120348688,0.04716101918520463,1.0444793032786885,0.43301148520540317,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,1.0854392759562843,1.1195725865209474,1.0854392759562843,1.1195725865209474,0.9596336455893834,1.0854392759562843,1.105919262295082,1.105919262295082,1.11177068696331,1.105919262295082,1.0444793032786885,1.085439275956284,1.0444793032786885,1.085439275956284,0.8191994535519126,1.0444793032786885,1.085439275956284,1.085439275956284,1.0649592896174864,1.085439275956284,0.40775236204020154,0.4446877429967313,0.40775236204020154,0.4446877429967313,0.5458891052273909,0.40775236204020154,0.42170872927345754,0.42170872927345754,0.40646698689220107,0.42170872927345754
Click,W3 Peak,10,0.8038394637978143,0.062053194533342515,0.8294394467213115,0.25866044954107936,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,0.778239480874317,0.7577594945355193,0.778239480874317,0.778239480874317,0.9523193647540985,0.778239480874317,0.778239480874317,0.778239480874317,0.8806394125683061,0.778239480874317,0.8191994535519126,0.7577594945355193,0.8191994535519126,0.8191994535519126,0.9011193989071039,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.9011193989071039,0.8191994535519126,0.22805547617680832,0.3185938188129794,0.22805547617680832,0.22805547617680832,0.3948266590491072,0.22805547617680832,0.22805547617680832,0.22805547617680832,0.2767956843110486,0.22805547617680832
Click,W3 Trough,10,0.6495725856827599,0.01628968404345479,0.6143995901639344,0.1539759087845876,13.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,11.0,14.0,12.0,0.6553595628415301,0.6270026586801177,0.6553595628415301,0.674264165615805,0.6292941256830601,0.6459072614543927,0.6553595628415301,0.6292941256830601,0.6582852751756441,0.665599556010929,0.6143995901639344,0.6143995901639344,0.6143995901639344,0.6143995901639344,0.6143995901639344,0.6143995901639344,0.6143995901639344,0.6143995901639344,0.6143995901639344,0.6143995901639344,0.16805240032833382,0.11631552349934937,0.16805240032833382,0.22285599599808606,0.12188290425068182,0.11959779688624197,0.16805240032833382,0.12188290425068182,0.1618302038314937,0.17123655814433977
Click,all targets,10,0.867078941409494,0.009633137415657262,0.8048634631147541,0.3549778946984144,28.5,29.0,27.0,28.0,29.0,29.0,28.0,28.0,27.0,32.0,29.0,0.8601594262295083,0.857125354179316,0.8601594262295083,0.8813456189937818,0.8672214904842661,0.8557708577283373,0.8747879879000781,0.8783638585306619,0.8601594262295083,0.8756959675899755,0.8191994535519126,0.6963195355191257,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.7987194672131148,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.33240006570535374,0.3579698150906944,0.34432373559915413,0.3654762755678179,0.38533936749600084,0.33801088297838855,0.35816051570305574,0.3569602703419623,0.37294550149715544,0.3381925170045608
