batch_id,run_number,cv_seed,train_seed,channel,signal_id,fold,subject,group,frequency,day,sound_level,target,true_idx,raw_pred_idx,adjusted_pred_idx,raw_conf,raw_is_corr,is_corr,raw_error_ms,adjusted_error_ms,adjustment_ms
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_30,2,YM4aa,,10k,baseline,30,target1,41,40,41,0.7064182162284851,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_30,2,YM4aa,,10k,baseline,30,target2,52,52,52,0.8179950714111328,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_30,2,YM4aa,,10k,baseline,30,target3,64,64,64,0.8257282376289368,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_30,2,YM4aa,,10k,baseline,30,target4,98,98,98,0.8693983554840088,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_30,2,YM4aa,,10k,baseline,30,target5,116,115,116,0.7390534281730652,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_30,2,YM4aa,,10k,baseline,30,target6,150,180,182,0.3127374053001404,False,False,1.2287991803278688,1.3107191256830601,0.08191994535519126
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_60,9,YM4aa,,10k,baseline,60,target1,31,31,31,0.5977462530136108,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_60,9,YM4aa,,10k,baseline,60,target2,43,44,43,0.6493902802467346,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_60,9,YM4aa,,10k,baseline,60,target3,56,56,56,0.4625343084335327,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_60,9,YM4aa,,10k,baseline,60,target4,89,89,89,0.8408064246177673,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_60,9,YM4aa,,10k,baseline,60,target5,133,105,105,0.5382770895957947,False,False,1.1468792349726775,1.1468792349726775,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_60,9,YM4aa,,10k,baseline,60,target6,157,157,157,0.4512249827384949,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_80,8,YM4aa,,10k,baseline,80,target1,30,31,30,0.7246381044387817,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_80,8,YM4aa,,10k,baseline,80,target2,46,45,46,0.6332272291183472,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_80,8,YM4aa,,10k,baseline,80,target3,75,75,75,0.653588056564331,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_80,8,YM4aa,,10k,baseline,80,target4,90,89,90,0.6532032489776611,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_80,8,YM4aa,,10k,baseline,80,target5,104,105,104,0.6729015111923218,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_160201,6,828647,456970,Ch2,10k:YM4aa_baseline_80,8,YM4aa,,10k,baseline,80,target6,148,147,148,0.353341668844223,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_160201,6,828647,456970,Ch2,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target1,36,36,36,0.588874101638794,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target2,48,48,48,0.8796908855438232,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target3,60,60,60,0.7423760294914246,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target4,93,93,93,0.4008682072162628,True,True,0.0,0.0,0.0
20260623_160201,6,828647,456970,Ch2,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target5,113,112,113,0.4831838607788086,False,True,0.04095997267759563,0.0,0.04095997267759563
