stimulus,target,sound_level,mean_p90_ms,sd_between_runs_ms,n_runs,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_p90_ms_run_01,run_p90_ms_run_02,run_p90_ms_run_03,run_p90_ms_run_04,run_p90_ms_run_05,run_p90_ms_run_06,run_p90_ms_run_07,run_p90_ms_run_08,run_p90_ms_run_09,run_p90_ms_run_10
Overall,W1 Peak,10,0.2711550191256831,0.0680697293268231,10,60.0,61.0,60.0,60.0,63.0,60.0,60.0,61.0,59.0,60.0,61.0,0.2867198087431694,0.4136957240437159,0.2949118032786886,0.2047998633879781,0.2088958606557377,0.2867198087431694,0.2867198087431694,0.27852781420765066,0.2867198087431694,0.1638398907103825
Overall,W1 Peak,20,0.16302069125683064,0.0025905361311892128,10,184.0,184.0,183.0,183.0,184.0,184.0,183.0,184.0,183.0,184.0,184.0,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.15564789617486383,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825
Overall,W1 Peak,30,0.12287991803278682,0.0,10,250.0,250.0,250.0,249.0,250.0,249.0,250.0,250.0,249.0,250.0,250.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
Overall,W1 Peak,40,0.11468792349726768,0.017270240874595704,10,371.0,373.0,370.0,371.0,372.0,371.0,372.0,372.0,370.0,369.0,370.0,0.0819199453551912,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.0819199453551912,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
Overall,W1 Peak,50,0.08847354098360659,0.01434573949672611,10,477.0,478.0,475.0,477.0,477.0,476.0,477.0,478.0,477.0,477.0,476.0,0.0819199453551912,0.1064959289617495,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.1228799180327868,0.0819199453551912
Overall,W1 Peak,60,0.0819199453551912,0.0,10,486.0,487.0,486.0,486.0,485.0,487.0,486.0,486.0,485.0,487.0,487.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
Overall,W1 Peak,70,0.0819199453551912,0.0,10,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
Overall,W1 Peak,80,0.0819199453551912,0.0,10,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
Overall,W1 Trough,10,0.11263992486338792,0.030666837282180483,10,62.0,62.0,62.0,62.0,63.0,62.0,63.0,62.0,61.0,62.0,63.0,0.11878392076502718,0.15974389344262285,0.0819199453551912,0.11468792349726786,0.15974389344262285,0.1228799180327868,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.1228799180327868
Overall,W1 Trough,20,0.0679935546448088,0.018938297623850325,10,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,182.0,183.0,183.0,0.0409599726775956,0.07372795081967255,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0409599726775956,0.0409599726775956,0.07372795081967255
Overall,W1 Trough,30,0.0409599726775956,0.0,10,250.0,250.0,251.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
