batch_id,run_number,cv_seed,train_seed,channel,signal_id,fold,subject,group,frequency,day,sound_level,target,true_idx,raw_pred_idx,adjusted_pred_idx,raw_conf,raw_is_corr,is_corr,raw_error_ms,adjusted_error_ms,adjustment_ms
20260626_181033,2,400603,952594,Ch1,10k:YM4aa_baseline_50,3,YM4aa,,10k,baseline,50,target1,32,33,32,0.36000755429267883,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,10k:YM4aa_baseline_50,3,YM4aa,,10k,baseline,50,target2,43,43,43,0.49439898133277893,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,10k:YM4aa_baseline_50,3,YM4aa,,10k,baseline,50,target3,55,55,55,0.543825626373291,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,10k:YM4aa_baseline_50,3,YM4aa,,10k,baseline,50,target4,87,88,87,0.22639240324497223,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,10k:YM4aa_baseline_70,10,YM4aa,,10k,baseline,70,target1,30,31,30,0.39596083760261536,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,10k:YM4aa_baseline_70,10,YM4aa,,10k,baseline,70,target2,41,41,41,0.4564022719860077,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,10k:YM4aa_baseline_70,10,YM4aa,,10k,baseline,70,target3,53,53,53,0.5061540603637695,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,10k:YM4aa_baseline_70,10,YM4aa,,10k,baseline,70,target4,89,87,89,0.19748735427856445,False,True,0.08191994535519126,0.0,0.08191994535519126
20260626_181033,2,400603,952594,Ch1,16k:YM4aa_baseline_30,5,YM4aa,,16k,baseline,30,target1,36,36,36,0.340230256319046,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,16k:YM4aa_baseline_30,5,YM4aa,,16k,baseline,30,target2,47,47,47,0.5275087952613831,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,16k:YM4aa_baseline_30,5,YM4aa,,16k,baseline,30,target3,59,59,59,0.5469621419906616,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,16k:YM4aa_baseline_30,5,YM4aa,,16k,baseline,30,target4,91,92,91,0.18289105594158173,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,16k:YM4aa_baseline_60,9,YM4aa,,16k,baseline,60,target1,30,31,30,0.3073597848415375,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,16k:YM4aa_baseline_60,9,YM4aa,,16k,baseline,60,target2,42,41,42,0.35679033398628235,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,16k:YM4aa_baseline_60,9,YM4aa,,16k,baseline,60,target3,54,53,54,0.37609371542930603,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,16k:YM4aa_baseline_60,9,YM4aa,,16k,baseline,60,target4,89,88,89,0.17261208593845367,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_40,5,YM4aa,,4k,baseline,40,target1,47,47,47,0.17349055409431458,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_40,5,YM4aa,,4k,baseline,40,target2,56,57,56,0.2316771298646927,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_40,5,YM4aa,,4k,baseline,40,target3,73,71,73,0.2331574559211731,False,True,0.08191994535519126,0.0,0.08191994535519126
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_40,5,YM4aa,,4k,baseline,40,target4,91,101,99,0.08794911950826645,False,False,0.4095997267759563,0.32767978142076504,0.08191994535519126
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_60,3,YM4aa,,4k,baseline,60,target1,35,34,35,0.31633588671684265,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_60,3,YM4aa,,4k,baseline,60,target2,44,44,44,0.5457507967948914,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_60,3,YM4aa,,4k,baseline,60,target3,56,56,56,0.4393203556537628,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_60,3,YM4aa,,4k,baseline,60,target4,88,88,88,0.17226409912109375,True,True,0.0,0.0,0.0
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_70,9,YM4aa,,4k,baseline,70,target1,30,29,30,0.37890854477882385,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,2,400603,952594,Ch1,4k:YM4aa_baseline_70,9,YM4aa,,4k,baseline,70,target2,38,39,38,0.40832433104515076,False,True,0.04095997267759563,0.0,0.04095997267759563
