stimulus,target,n_runs,mean_of_run_means_ms,sd_between_runs_ms,mean_of_run_medians_ms,mean_within_run_sd_ms,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_mean_ms_run_01,run_mean_ms_run_02,run_mean_ms_run_03,run_mean_ms_run_04,run_mean_ms_run_05,run_mean_ms_run_06,run_mean_ms_run_07,run_mean_ms_run_08,run_mean_ms_run_09,run_mean_ms_run_10,run_median_ms_run_01,run_median_ms_run_02,run_median_ms_run_03,run_median_ms_run_04,run_median_ms_run_05,run_median_ms_run_06,run_median_ms_run_07,run_median_ms_run_08,run_median_ms_run_09,run_median_ms_run_10,within_run_sd_ms_run_01,within_run_sd_ms_run_02,within_run_sd_ms_run_03,within_run_sd_ms_run_04,within_run_sd_ms_run_05,within_run_sd_ms_run_06,within_run_sd_ms_run_07,within_run_sd_ms_run_08,within_run_sd_ms_run_09,within_run_sd_ms_run_10
Overall,W1 Peak,10,1.0408538051001055,0.030829924526784545,0.862207424863388,0.37508233411781783,29.5,30.0,33.0,28.0,32.0,35.0,27.0,26.0,30.0,28.0,29.0,1.0704206193078325,1.0450999089253188,1.0444793032786885,1.0239993169398907,1.0708107142857142,1.0482718933414288,0.9924916456494326,1.0676899544626592,0.9859650565964092,1.0593096382136802,0.9011193989071038,0.8601594262295083,0.8396794398907104,0.8601594262295083,0.9420793715846996,0.8191994535519126,0.8396794398907104,0.880639412568306,0.8191994535519126,0.8601594262295083,0.40430187307745213,0.36808769125906304,0.368808275137608,0.38983188964840615,0.3548827130017122,0.39390096735695923,0.31028258136303855,0.39124124911548747,0.3999171193277691,0.3695689818906825
Overall,W1 Trough,10,0.8702472031976782,0.022927652513476494,0.8273914480874318,0.4064648106155831,35.5,42.0,34.0,40.0,37.0,35.0,34.0,35.0,36.0,38.0,33.0,0.8660108508977361,0.874615887174542,0.8478714344262295,0.8413399793235858,0.8730325604996098,0.8324512094181935,0.8905868345042935,0.8897416287188827,0.8881846706931263,0.8986369763205829,0.7782394808743169,0.7782394808743169,0.7987194672131148,0.8601594262295083,0.8601594262295083,0.7782394808743169,0.8601594262295083,0.8396794398907104,0.7782394808743169,0.9420793715846996,0.3800164085612716,0.42744230972180897,0.4025228836970851,0.38648731331673963,0.4046024150454926,0.44019722363385694,0.38773412707005306,0.3974367199761508,0.42695607212201103,0.41125263301136084
Overall,W4 Peak,10,1.024465967217319,0.019288928146665187,0.9359353756830602,0.2991836482732667,64.0,69.0,60.0,62.0,69.0,59.0,71.0,66.0,61.0,67.0,54.0,1.021624825770175,1.034921976320583,1.0358909219108057,1.0150949750534568,1.0323301588404188,1.0176534056799815,1.009104781420765,1.0575730650362807,1.034392145828236,0.9860734163124875,0.9420793715846996,0.9420793715846996,0.9830393442622952,0.9011193989071038,0.9420793715846996,0.9420793715846996,0.9011193989071038,0.9830393442622952,0.9011193989071038,0.9215993852459017,0.3021290287788766,0.3157352648430066,0.2635154068523243,0.2721395581112529,0.30818968213246983,0.2887728194169144,0.2907546803527028,0.3472758536289073,0.31778240058189394,0.2855417880343186
Overall,W4 Trough,10,0.8512729367783113,0.02264499732785925,0.815103456284153,0.3262369297029788,115.5,121.0,120.0,110.0,118.0,114.0,114.0,117.0,113.0,117.0,105.0,0.8388331594634874,0.8499194330601093,0.8333492622950821,0.883763478281004,0.8641117042948903,0.8712976644137668,0.8447556758208399,0.8804581737511485,0.8188493683153519,0.8273914480874317,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.7782394808743169,0.8191994535519126,0.3115426747125598,0.3267857893906233,0.3207694362653341,0.3731979535393421,0.3299811040609684,0.30184451541699364,0.3395040194052886,0.372806632619171,0.30874933999382825,0.27718783162567884
Overall,W5 Peak,10,1.0513480214900808,0.012642220857027625,1.0158073224043718,0.24229849877559223,154.5,155.0,152.0,153.0,162.0,158.0,138.0,154.0,167.0,167.0,152.0,1.0485753005464482,1.0792413853537532,1.0435423104396586,1.0515588047291373,1.0494048696133362,1.0572421933159104,1.0599057864949257,1.040432359870423,1.0512242089591308,1.0323529955780846,0.9830393442622952,1.0239993169398909,1.0239993169398909,1.0239993169398909,1.0239993169398909,1.0239993169398909,1.0239993169398909,1.0239993169398909,0.9830393442622952,1.0239993169398909,0.23036541490166323,0.2727287347937648,0.23227956928739885,0.2571491757592795,0.2581282608248496,0.22448619968007935,0.2532456394910579,0.23684094838610753,0.2584134113485496,0.1993476332831722
Overall,W5 Trough,10,1.439952788325583,0.025308463196507945,1.380351079234973,0.5917897855562106,542.0,535.0,611.0,508.0,556.0,549.0,465.0,506.0,596.0,524.0,602.0,1.4729512417649764,1.4354090588750863,1.437308017619724,1.4302839380135237,1.435091210297909,1.4786109706798285,1.4516505731765266,1.4173112693457293,1.3919355600571477,1.4489760434253762,1.3926390710382517,1.3926390710382517,1.3516790983606557,1.3926390710382517,1.3926390710382517,1.3926390710382517,1.3926390710382517,1.3516790983606557,1.3516790983606557,1.3926390710382517,0.6235164325381015,0.576261996036514,0.6399285725628614,0.5659722284060985,0.5635936518886823,0.6229773508452184,0.5773620713634499,0.6028538823833177,0.5758479802600338,0.5695836892778285
Overall,all targets,10,1.2413813909084201,0.016626310158088287,1.0977272677595629,0.5455084124360756,951.0,952.0,1010.0,901.0,974.0,950.0,849.0,904.0,1003.0,941.0,975.0,1.251086224284796,1.2568222903478874,1.2307085242262696,1.2359482515344309,1.2432860759275237,1.2504611682339237,1.2391297929058467,1.242806429209639,1.2023340757710377,1.2612310766428472,1.0649592896174864,1.1468792349726775,1.0649592896174864,1.105919262295082,1.105919262295082,1.105919262295082,1.105919262295082,1.105919262295082,1.0649592896174864,1.105919262295082,0.5694542865988454,0.5419035842682122,0.5723854606669221,0.5282880217956185,0.5266142077465287,0.5644567796045888,0.5364452002459044,0.5523039841567503,0.5260303839037914,0.5372022153735941
Click,W1 Peak,10,1.1250339162112932,0.08263112942847708,1.0731512841530055,0.4057290233175442,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,1.2390391734972679,1.0649592896174864,1.2390391734972679,1.0649592896174864,1.1468792349726775,1.1605325591985427,1.1605325591985427,1.0137593237704918,1.0137593237704918,1.1468792349726775,1.2902391393442625,0.9420793715846995,1.2902391393442625,0.9420793715846995,1.105919262295082,1.105919262295082,1.105919262295082,0.9215993852459017,0.9215993852459017,1.105919262295082,0.40184634945259595,0.41637042888206643,0.40184634945259595,0.41637042888206643,0.40444732385140664,0.45303532083125064,0.45303532083125064,0.3529456935704012,0.3529456935704012,0.40444732385140664
Click,W1 Trough,10,0.8248168212334115,0.135260487771425,0.9175033879781422,0.37409041057103015,6.0,8.0,5.0,5.0,6.0,6.0,6.0,3.0,7.0,8.0,7.0,0.8447994364754099,0.6635515573770492,0.8437754371584699,0.7987194672131149,0.7987194672131147,0.8328527777777778,1.1332259107468123,0.9245250975800156,0.6707195525956284,0.7372795081967213,0.9625593579234974,0.8191994535519126,0.9420793715846996,0.9625593579234974,0.9625593579234974,0.9011193989071039,1.1468792349726775,0.9420793715846996,0.5939196038251366,0.9420793715846996,0.3610440451704798,0.4500008077361087,0.4183134344369785,0.34048554726578656,0.48929597680916664,0.3925894616084887,0.18469874667208044,0.2942826458110288,0.33486947273281853,0.4753239674673649
Click,W4 Peak,10,0.90183699854637,0.034936848571944276,0.8396794398907105,0.20342890121364426,14.5,17.0,14.0,16.0,15.0,14.0,19.0,17.0,13.0,12.0,14.0,0.9348511411121826,0.9274508099141296,0.9318393784153005,0.8683514207650274,0.8396794398907105,0.9226772792637332,0.8794347074895532,0.9420793715846995,0.8738127504553734,0.8981936865729898,0.8601594262295083,0.8601594262295083,0.8396794398907104,0.8191994535519126,0.8191994535519126,0.8601594262295083,0.8191994535519126,0.8601594262295083,0.8191994535519126,0.8396794398907104,0.29580477754474616,0.25178130282980304,0.23860136282517116,0.1711379168163895,0.1659919098430571,0.2219949996021213,0.14271306739316608,0.23290826383627944,0.15556294801050252,0.15779246343520642
